,date,author,converation,replies number,likes number,rewteet number
75,2023-03-06 17:13:12+00:00,taylorlorenz,@TaylorLorenz And the notes to add context are broken too,2,21,5
76,2023-03-06 17:08:37+00:00,taylorlorenz,@TaylorLorenz “A pivot to be more like Instagram”,1,2,0
77,2023-03-06 17:08:15+00:00,taylorlorenz,@TaylorLorenz he's cut off our only connection to the world outside twitter... we're stuck here forever now,0,36,0
78,2023-03-06 17:07:19+00:00,taylorlorenz,"@TaylorLorenz I am making a substantive argument not just abusing language and playing dunk-y wordgames, try the same?",1,2,0
79,2023-03-06 17:07:17+00:00,taylorlorenz,Yupp,3,104,7
80,2023-03-06 17:06:33+00:00,taylorlorenz,@TaylorLorenz Disturbing.,0,2,0
81,2023-03-06 17:05:55+00:00,taylorlorenz,@TaylorLorenz possibly my favorite meme over the past year https://t.co/Z6dtPERrLn,0,2,0
82,2023-03-06 17:04:15+00:00,taylorlorenz,@TaylorLorenz +1,0,2,0
83,2023-03-06 17:04:07+00:00,taylorlorenz,@TaylorLorenz wow this is embarrassing,0,18,0
84,2023-03-06 17:00:40+00:00,taylorlorenz,"@TaylorLorenz We definitely need more excellent journalists, podcasts and researchers like @oneunderscore__ @abughazalehkat @noturtlesoup17 @nezumi_ningen @QanonAnonymous that covers disinformation on a massive scale",1,5,1
85,2023-03-06 17:00:27+00:00,taylorlorenz,"@TaylorLorenz A ""disinformation reporter"" is what we used to call a ""media critic,"" when we admitted our media required criticism.",0,8,0
86,2023-03-06 17:00:16+00:00,taylorlorenz,"@TaylorLorenz why is there such a thing as a ""compliance officer"", isn't it everyone's job to comply with laws?",2,20,2
87,2023-03-06 17:00:06+00:00,taylorlorenz,"@TaylorLorenz It's deeply misogynistic to describe adult women as ""speaking up"" like they are toddlers",0,7,0
88,2023-03-06 16:58:50+00:00,taylorlorenz,@TaylorLorenz Looks like ads still work,0,12,0
89,2023-03-06 16:57:57+00:00,taylorlorenz,What’s a “media reporter” aren’t all reporters working in the media? Please be serious,3,108,4
90,2023-03-06 16:54:20+00:00,taylorlorenz,@TaylorLorenz Bears repeating https://t.co/YnJkQKG4qc,1,37,5
91,2023-03-06 16:53:09+00:00,taylorlorenz,@TaylorLorenz i was playing with the twitter api when i first saw that error and i thought it was because i did something wrong 😭,0,11,0
92,2023-03-06 16:52:53+00:00,taylorlorenz,@TaylorLorenz lmao looks like it,0,3,0
93,2023-03-06 16:52:09+00:00,taylorlorenz,@TaylorLorenz They didn’t pay the API bill,0,24,0
94,2023-03-06 16:51:09+00:00,taylorlorenz,"@TaylorLorenz @bestofdyingtwit i need a 24/7 livestream on all the breaking news and analysis 

taylor can you please be our steve kornacki for this please https://t.co/dsnyyMoRAz",2,2,0
95,2023-03-06 16:49:28+00:00,taylorlorenz,"@TaylorLorenz The worst is the ramification this would have on female journalists in the Global South, especially countries with a tendency to silence and imprison female journalists regularly. This will be a nightmare in in places like India, Indonesia and Myanmar.",1,4,0
96,2023-03-06 16:48:37+00:00,taylorlorenz,"@TaylorLorenz Hm, this link isn't working, Taylor",1,2,0
97,2023-03-06 16:38:38+00:00,taylorlorenz,@TaylorLorenz @EllenYChang I’m feeling such intense nostalgia!,0,0,0
98,2023-03-06 15:25:46+00:00,taylorlorenz,@TaylorLorenz I had several pairs of black pants from Banana Republic that must have been a rival to the Express ones.,0,2,0
99,2023-03-06 15:23:34+00:00,taylorlorenz,"@TaylorLorenz And I'm not (actually) a defender of car-centric development, it's been a disaster. But if the built environment determined everything about how we lived, the youth of Japan would be among the happiest on earth.",3,158,1
100,2023-03-06 15:20:58+00:00,taylorlorenz,@TaylorLorenz @EllenYChang the hold these had on my heart/wallet,0,1,0
101,2023-03-06 15:20:37+00:00,taylorlorenz,"@TaylorLorenz @EllenYChang me too, I had sooo many pairs",0,2,0
102,2023-03-06 15:12:13+00:00,taylorlorenz,"@TaylorLorenz one thing about you, you're going to show up unexpectedly in a doc I'm watching. I see you.",0,0,0
103,2023-03-06 14:57:40+00:00,taylorlorenz,@TaylorLorenz @EllenYChang same! 🤭,0,1,0
104,2023-03-06 14:45:40+00:00,taylorlorenz,"@TaylorLorenz @Wesoninternet The fact that we’ve gotten to a place where people’s “feelings” have completely usurper facts, science, and common sense is… 😵‍💫😵‍💫 this could not be any worse.",0,143,10
105,2023-03-06 14:30:48+00:00,taylorlorenz,"@TaylorLorenz Yes, it is far more a question of when we will really be safe--when viral levels are down, when we have vaccines which do more to reduce transmission. We also don't want zero mitigations. Cleaning air is a good idea regardless of Covid. Masks in public places is of value.",1,154,9
106,2023-03-06 14:05:59+00:00,taylorlorenz,@TaylorLorenz Thank you! It’s been amazing so far! But the bathroom is disgusting and someone ripped all the drywall off the walls in the living room,0,4,0
107,2023-03-06 13:42:44+00:00,taylorlorenz,"@TaylorLorenz This and ""living in fear."" Living in logic and being well-informed.",0,214,16
108,2023-03-06 13:09:52+00:00,taylorlorenz,"@TaylorLorenz 

You should leave adult topics to the adults kiddo...",0,0,0
109,2023-03-06 12:55:03+00:00,taylorlorenz,"@TaylorLorenz The long-overdue appreciation of emotional trauma’s impact shouldn’t have led society to exclusively code everything as emotional trauma, but here we are.

I can’t just tell people COVID hurt me, physically, and I don’t want to go through that again. It doesn’t process whatsoever",1,140,8
110,2023-03-06 12:20:19+00:00,taylorlorenz,@TaylorLorenz @EllenYChang I loved these!!! And not just because I was actually an editor.,1,2,0
111,2023-03-06 08:15:47+00:00,taylorlorenz,@TaylorLorenz gonna be a THIS from me,0,30,2
112,2023-03-06 07:38:29+00:00,taylorlorenz,@TaylorLorenz https://t.co/P0lOP7TcZU,0,50,2
113,2023-03-06 07:13:06+00:00,taylorlorenz,"Covid doesn’t infect people based on “feelings” it infects people by accumulating in unventilated air, which people breathe in. That’s the point.",1,1502,205
114,2023-03-06 06:03:16+00:00,taylorlorenz,@TaylorLorenz @BirdRespecter @JUNlPER @WesternKabuki They already had you on. The big guns have already been brought. I’m just the clean up crew,1,6,0
115,2023-03-06 06:02:23+00:00,taylorlorenz,"@TaylorLorenz @followtheh Taylor, It's weak when you compare it to people who had to work hard for all of their lives. On the other hand . ..to be fair...not all people can do that and be happy in life.",0,2,0
116,2023-03-06 05:55:09+00:00,taylorlorenz,@TaylorLorenz @JUNlPER @WesternKabuki @AGoldmund We’re assembling the avengers of fighting reactionary dildos,0,4,0
117,2023-03-06 05:27:11+00:00,taylorlorenz,"@TaylorLorenz @followtheh Tom's been thickening his skin since 12. He's now a callous, angry 60 year old hell bent on revenge.",0,0,0
118,2023-03-06 04:12:29+00:00,taylorlorenz,@TaylorLorenz That’s really cool. I had no idea. We were at the outlet mall.,1,10,0
119,2023-03-06 03:21:56+00:00,taylorlorenz,"@TaylorLorenz @followtheh Who is @TaylorLorenz 
Is anything she says true?",0,1,0
120,2023-03-06 02:36:41+00:00,taylorlorenz,"@TaylorLorenz @followtheh Not like farming plus a second gig is easy labor, either. Seems like an odd case for the point they are making.",0,9,0
121,2023-03-06 02:15:51+00:00,taylorlorenz,@TaylorLorenz AHHH TAYLOR YOU TOO?! i am *obsessed*,0,4,0
122,2023-03-06 02:07:49+00:00,taylorlorenz,"@TaylorLorenz @followtheh I'm reading this as he quit his main job, not he took a second job.",2,5,0
123,2023-03-06 02:02:36+00:00,taylorlorenz,@TaylorLorenz @followtheh Countdown till someone says “bootstraps”,0,1,0
124,2023-03-06 00:21:01+00:00,taylorlorenz,@TaylorLorenz This is her chance to prove you wrong!  I’ve written 100 articles. Should be easy to find the “hit piece”. https://t.co/zhgtUQrYDK,1,11,1
125,2023-03-06 00:17:51+00:00,taylorlorenz,"@TaylorLorenz @19joho Been blocked for years now, impossible to debate in an honest manner",0,2,0
126,2023-03-05 23:54:42+00:00,taylorlorenz,@TaylorLorenz He ended slavery after all https://t.co/h8XkCcxxTN,0,0,0
127,2023-03-05 23:54:05+00:00,taylorlorenz,"@TaylorLorenz @kattenbarge ugh. When I stopped wearing heels when COVID started, seemingly my plantar fasciitis was managable.",0,3,0
128,2023-03-05 23:51:27+00:00,taylorlorenz,@TaylorLorenz Bosses when women’s heels touch the floor 🤬🤬🤬,0,4,1
129,2023-03-05 23:41:24+00:00,taylorlorenz,@TaylorLorenz Samesies,0,1,0
130,2023-03-05 21:54:51+00:00,taylorlorenz,"@TaylorLorenz very curious of 2 things. 

1.Why do always turn off replies when u tweet? 

2.why do you sporadically protect your account?",0,0,0
131,2023-03-05 18:34:27+00:00,taylorlorenz,"@TaylorLorenz Timing probably.  People have been dogpiling on her, so she's probably understandably a little raw emotionally.

And no matter how carefully you reply at this point, it might be a block.

I might still get blocked no matter how I phrased it.  It would suck, but I'd understand.",1,5,0
132,2023-03-05 18:24:18+00:00,taylorlorenz,@TaylorLorenz @TheWHN 🫶🫶🫶🫶🫶🥹🥹🥹🥹,0,4,0
133,2023-03-05 15:08:05+00:00,taylorlorenz,@TaylorLorenz why did you unblock me? Please re block asap… 🖕🏻🖕🏻🖕🏻,0,1,0
134,2023-03-05 06:37:58+00:00,taylorlorenz,@TaylorLorenz no idea why you are picking a fight with @trishgreenhalgh Do better,0,0,0
135,2023-03-05 06:20:51+00:00,taylorlorenz,@TaylorLorenz @susannareid100 I think you’re misinterpreting the term mask troll. I mean anti-maskers. Amazed at the hate I’m getting here.,0,12,0
136,2023-03-04 19:08:57+00:00,taylorlorenz,@TaylorLorenz thank youuu 💕,0,5,0
137,2023-03-04 02:53:26+00:00,taylorlorenz,@TaylorLorenz Wow. It seemed like big news when we lost every single mAb - which was the most effective treatment we had. Yet no one knows.,0,1,0
138,2023-03-04 00:11:37+00:00,taylorlorenz,@TaylorLorenz @broderick p much!!!,0,5,0
139,2023-03-03 22:41:12+00:00,taylorlorenz,@TaylorLorenz I really feel like this is we're in the same the political environment as Weimar Germany in the late 1920s.,0,3,0
140,2023-03-03 22:40:37+00:00,taylorlorenz,@TaylorLorenz It’s unconscionable,0,2,0
141,2023-03-03 22:39:14+00:00,taylorlorenz,@TaylorLorenz It seems that way because it is that way!,0,4,0
142,2023-03-03 22:37:58+00:00,taylorlorenz,@TaylorLorenz SAY IT LOUDER FOR THOSE IN THE BACK!!!,0,6,0
143,2023-03-03 21:45:35+00:00,taylorlorenz,@TaylorLorenz Bari Weiss is a person who should never be taken seriously by anyone.,0,2,0
144,2023-03-03 19:36:22+00:00,taylorlorenz,@TaylorLorenz The “Rocky Mountains” of our beautiful LA 😂,0,0,0
145,2023-03-03 18:29:55+00:00,taylorlorenz,@TaylorLorenz since you came to my profile to talk shit but then ironically don’t allow responses (shocker) let me say this here: I suggest not coming for me especially with your teeth to gum ratio https://t.co/jzs4IuOqG6,0,5,2
146,2023-03-03 16:52:18+00:00,taylorlorenz,"@TaylorLorenz @nypost You obviously care @TaylorLorenz or you wouldn't have commented. And now let me guess you're going to make your account go private and go cry about how everyone is ""mean"" to you like a big cry bully",0,0,0
147,2023-03-03 15:06:13+00:00,taylorlorenz,@TaylorLorenz @nypost Yet here u are,0,1,0
148,2023-03-03 14:57:30+00:00,taylorlorenz,@TaylorLorenz @nypost Actually people do care 🤣,0,0,0
149,2023-03-03 13:51:59+00:00,taylorlorenz,"@TaylorLorenz @nypost Riiiight. 🙄 until you’re doing an unbelievably hypocritical interview crying about being bullied, and making Amber Heard look like a good actress with your crocodile tears.",0,0,0
150,2023-03-03 13:45:47+00:00,taylorlorenz,"@TaylorLorenz @nypost Do you know what journalism is Taylor? You have to actually get the facts,  Ot just report bs.",0,0,0
151,2023-03-03 13:02:50+00:00,taylorlorenz,"@TaylorLorenz @nypost 1; 1st of all it's you don't care not no one cares since you don't speak for the whole entire world. 

2; Just because you don't care does not mean others don't. 

3; If you didn't care why make a post? Sounds like someone who cares hypocrite.",0,0,0
152,2023-03-03 12:56:40+00:00,taylorlorenz,@TaylorLorenz @nypost Oh someone’s mad. 🤡,0,2,0
153,2023-03-03 05:51:40+00:00,taylorlorenz,@TaylorLorenz That looks like LA,0,0,0
154,2023-03-03 02:40:12+00:00,taylorlorenz,@TaylorLorenz There are very few places in CO you can see ranges that look like that so my guess is LA.,0,0,0
155,2023-03-03 02:15:08+00:00,taylorlorenz,@TaylorLorenz you are a DOUCHE!,0,1,0
156,2023-03-03 00:21:37+00:00,taylorlorenz,@TaylorLorenz Has there been any activity from Musk on his threatened lawsuits arising from the flight-tracker fiasco? I think he said he'd sue both the alleged stalker and the person who posted the flight information.,0,0,0
157,2023-03-02 23:16:51+00:00,taylorlorenz,"@TaylorLorenz The ship HAS sailed, Taylor!

Problem is, we are all still IN the ship, and we know what a Petri dish of foulness that a ship can be…",0,28,1
158,2023-03-02 23:06:30+00:00,taylorlorenz,"@TaylorLorenz @PesteMagazine love that these are our “pandemic influencers” and not like, enovid GRWMs, headstrap hair hacks, and respirator reviews🥲",0,1,0
159,2023-03-02 22:35:21+00:00,taylorlorenz,@TaylorLorenz What a pathetic way to make a career by lying and crying. An entire class of grifters.,0,2,0
160,2023-03-02 22:13:20+00:00,taylorlorenz,"@TaylorLorenz Three pieces of film to really set the tone for what my generation (over 50 gay men surived)

1. Larry Kramer https://t.co/SG8djvHcaC (NSFW language)
2. Dallas Buyers Club https://t.co/uNw7pU4Nx2
3. It's My Party https://t.co/gfLhiiHWr7 

We did it all from heal to euthanasia",1,0,0
161,2023-03-02 22:08:05+00:00,taylorlorenz,"@TaylorLorenz I'd encourage you to take a look at what I built for myself!

Since 2018 my doctors, lawyers and CPAs come to me through my portal.

As a gay man who survived the AIDS crisis, we made our own health care systems to support us.

A lot like the long covid pioneers are doing now. https://t.co/dJK9YcckoR",0,0,0
162,2023-03-02 21:53:05+00:00,taylorlorenz,@TaylorLorenz @allisonbraley The irony in this coming from a mob cult 🗑🤡 like you https://t.co/03gUcQlgVG,0,0,0
163,2023-03-02 21:52:13+00:00,taylorlorenz,@TaylorLorenz @mjbxsd Do you miss not being a waste of existence bootlicker 🗑 🤡?,0,0,0
164,2023-03-02 21:47:48+00:00,taylorlorenz,@TaylorLorenz TAYLOR!! this means so much coming from you 💖,0,3,0
165,2023-03-02 21:37:29+00:00,taylorlorenz,@TaylorLorenz @Justin_Ling and @MackLamoureux,0,0,0
